account_id,type_id,status_id,customer_id,branch_id,account_number,balance,date_opened,date_closed
1,4,2,7,12,GB52TDRW23675808970081,8355.7,2018-08-17,NULL
2,3,3,490,10,GB17JMKF88036638979715,26634.81,2020-10-04,NULL
3,1,2,452,10,GB93CBHH19662308684940,13262.68,2020-01-15,NULL
4,4,2,1021,7,GB90GZWJ27290836367473,21311.2,2024-09-06,NULL
5,5,1,938,9,GB56DUMA16538110993248,23068.32,2021-02-14,NULL
6,3,3,410,9,GB13CCPF36379338590849,42334.06,2018-08-23,NULL
7,2,2,88,3,GB89EHSW95392824998477,45994.5,2021-04-09,NULL
8,1,3,588,12,GB43QJAR20818369173482,30118.82,2017-01-28,NULL
9,4,2,310,7,GB51AYGU86064128622172,27052.0,2021-03-03,NULL
10,5,3,361,1,GB08OCFI11084704133791,7918.77,2016-11-30,NULL
11,3,1,735,1,GB17CRDD97651157955264,44456.78,2021-11-24,NULL
12,1,2,822,10,GB05KODH70726121361083,35340.22,2017-06-19,NULL
13,3,2,550,3,GB36XDLQ69081325754936,48738.96,2020-08-23,NULL
14,5,2,617,10,GB65ANLC05425320926549,22656.62,2019-10-17,NULL
15,5,3,898,8,GB40GZHA25533628064691,37069.04,2016-02-10,NULL
16,1,1,1100,9,GB06KZHA89532041292646,1775.71,2019-07-23,NULL
17,2,2,309,8,GB93CVVV95151560844878,20192.18,2021-08-23,NULL
18,3,2,1132,2,GB60VJXZ37891270196589,25908.36,2020-03-27,NULL
19,4,1,950,4,GB72HZAY85805061272390,14732.21,2022-03-23,NULL
20,5,1,930,7,GB43ITVB66870199466766,18259.72,2025-02-26,NULL
21,4,1,515,3,GB05XBQY47004573252313,49209.2,2020-05-19,NULL
22,5,3,1075,4,GB16YAFV05095513778562,6786.44,2017-06-30,NULL
23,5,3,988,1,GB57FSUN61394799507222,13395.05,2018-05-04,NULL
24,1,2,981,8,GB27VCGP87470573388778,23603.3,2016-03-21,NULL
25,5,1,712,6,GB63MTZW44078999845213,3640.36,2016-08-07,NULL
26,2,3,39,7,GB20ECLY09465461929952,38617.7,2022-03-01,NULL
27,2,2,571,9,GB39USWV45220624347788,47964.58,2018-12-02,NULL
28,3,1,587,10,GB57VTSJ02493535856005,5179.39,2025-04-05,NULL
29,4,2,274,9,GB77RCMP36995138943933,25072.73,2021-02-19,NULL
30,1,3,1044,8,GB69IMBQ80112668657673,40584.08,2016-01-05,NULL
31,5,2,739,7,GB44CQFN10366487991062,17192.44,2020-06-14,NULL
32,5,2,1050,6,GB93OCDH42242564320580,2526.3,2022-01-11,NULL
33,2,3,185,8,GB59IFSB64281908329213,14103.64,2017-03-05,NULL
34,5,1,891,3,GB29FBIO62116120158395,23293.79,2017-05-12,NULL
35,3,2,540,3,GB20KHAF52949836670779,40816.35,2019-05-17,NULL
36,2,1,158,8,GB47YYFM11763813572573,9554.23,2021-05-08,NULL
37,5,3,161,5,GB52YKND74627041416966,26206.26,2017-12-11,NULL
38,2,3,803,11,GB33HLYZ73258851854314,7044.93,2016-09-15,NULL
39,4,2,1101,2,GB59WUGV65385415597583,6394.59,2016-07-16,NULL
40,4,3,408,6,GB65LEJR96261158057306,25999.16,2019-04-01,NULL
41,2,3,549,12,GB19ZUAE59565312159915,40241.91,2016-01-23,NULL
42,5,3,328,12,GB94FAJP80633549963375,38609.05,2020-06-10,NULL
43,4,3,1159,11,GB56MBZV92579873662667,17525.65,2021-11-09,NULL
44,2,3,521,12,GB27FWXQ02969288578366,32715.5,2023-03-18,NULL
45,1,2,594,5,GB39MYVE66924936157669,43167.06,2023-12-01,NULL
46,2,1,140,6,GB96CWMI61898748766186,13500.25,2016-05-23,NULL
