address_id,address_type_id,street,postal_code,city,country
1,3,6893 Sharon Fall Suite 936,40279,East Denise,Pakistan
2,3,74960 Williamson Port Apt. 367,04559,Kevinborough,Netherlands
3,3,859 Michelle Forest,58703,Port Kristenstad,Holy See (Vatican City State)
4,3,8531 Jackson Crossing Suite 082,63604,Lake Justinhaven,Tanzania
5,3,30439 Davis Mills Suite 381,75629,Port Samuelfurt,Cyprus
6,3,787 Daniel Rest Suite 897,45884,Stonemouth,New Caledonia
7,3,83834 Anderson Course,48490,Smithview,Hong Kong
8,3,546 George Cliff,58416,Simmonsview,Moldova
9,3,677 Martinez Trail Suite 922,30469,Davisburgh,Hong Kong
10,3,4211 Fischer Tunnel,44583,Blakestad,Cook Islands
11,3,475 Jared Island,96743,Thorntonland,Jamaica
12,3,081 Jacqueline Prairie Suite 211,95319,West Gabrielleshire,Belgium
13,1,2193 Antonio Springs,96287,Hamiltontown,American Samoa
14,1,058 Anthony Ramp,67893,New Josetown,Saint Kitts and Nevis
15,1,810 Silva Cliff,49000,Caseychester,United States of America
16,1,984 Amanda Cliff Suite 247,02737,Jasonport,Saint Barthelemy
17,1,2107 Butler Trace,61197,Lutzton,Kenya
18,1,7913 Andersen Valley,28515,North Stevefurt,Austria
19,1,311 Ali Shore,82277,North Taylor,Sao Tome and Principe
20,1,90452 Stacey Station Suite 056,85982,North Kevinmouth,Zimbabwe
21,1,255 Kirk Island,70720,Mitchellmouth,Belize
22,1,62022 Oconnell Curve Apt. 331,54439,Nelsonmouth,Brunei Darussalam
23,1,938 Gonzalez Unions Suite 883,72323,Vincentberg,Vanuatu
24,1,23208 Karen Passage Apt. 752,14318,Pedroside,Suriname
25,1,2001 Ritter Road,00754,Rodriguezchester,Netherlands Antilles
26,1,6551 Yoder Pine Apt. 489,24946,Mitchellborough,Bahamas
27,1,326 Joshua Inlet,92895,New Jesse,Saint Kitts and Nevis
28,1,7323 Shelly Branch,64336,Ryanborough,Liechtenstein
29,1,08345 Robert Hill Apt. 930,54138,East Garyburgh,United Kingdom
30,1,144 White Brook Suite 428,85918,Lake William,Dominica
31,1,1553 Guerrero Heights Apt. 038,83745,Berrytown,Antarctica (the territory South of 60 deg S)
32,1,85422 Clark Port Apt. 369,43333,South Madison,British Indian Ocean Territory (Chagos Archipelago)
33,1,256 Stephanie Plaza,72233,North Charles,Albania
34,1,44826 Cody Manor,63204,South Williamchester,Cuba
35,1,52017 Howard Creek Apt. 793,58312,New Brandon,South Georgia and the South Sandwich Islands
36,1,1381 Ramos Fork,61504,Port Ryan,Christmas Island
37,1,36774 Lee Mission Apt. 760,08580,New Rebecca,Sweden
38,1,8160 Christopher Ways Suite 869,55974,New Vanessa,United States of America
39,1,596 Calvin Via Suite 345,09967,Lake Brettberg,Latvia
40,1,181 Jones Mountains,38878,Lisaview,Cook Islands
41,1,85864 Jacqueline Station,18456,Brianfurt,Argentina
42,1,749 Ward Squares Apt. 833,43364,Trevinoport,Mozambique
43,1,80831 Hahn Mill Apt. 236,48898,Hannahview,Bulgaria
44,1,3775 Michael Flats,65956,Youngchester,Anguilla
45,1,92344 Michael Trace Suite 306,20524,Castilloberg,Korea
46,1,32701 Hayley Stream,96807,Nicholsview,Cape Verde
47,1,7205 Ryan Mountain Suite 652,34464,New Robertmouth,Cote d'Ivoire
48,1,939 Molina Shoal,15494,South Rebeccaborough,Denmark
49,1,14368 David Inlet,14137,Wattsberg,Bulgaria
